,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
111,1686484800000,25796.05000000,25798.72000000,25771.59000000,25784.80000000,294.62056000,1686486599999,7596943.06493950,11690,146.17945000,3769199.25851710,0
112,1686486600000,25784.80000000,25784.80000000,25747.61000000,25750.00000000,515.33030000,1686488399999,13278494.07056610,13479,191.52582000,4934898.55158910,0
113,1686488400000,25750.01000000,25775.59000000,25735.50000000,25749.76000000,361.75690000,1686490199999,9317586.90705230,12702,157.37092000,4053280.59083970,0
114,1686490200000,25749.77000000,25776.13000000,25672.68000000,25703.33000000,1027.43768000,1686491999999,26442834.41543600,21314,429.98303000,11067336.82938060,0
115,1686492000000,25703.32000000,25806.11000000,25694.72000000,25732.90000000,538.33707000,1686493799999,13856959.27876150,18385,255.10055000,6565574.78759820,0
116,1686493800000,25732.90000000,25768.96000000,25715.38000000,25753.19000000,411.81533000,1686495599999,10599000.69577700,15458,171.00851000,4401332.60321640,0
117,1686495600000,25753.18000000,25778.08000000,25742.12000000,25768.63000000,511.66044000,1686497399999,13177654.04496520,12607,207.58581000,5346126.92661980,0
118,1686497400000,25768.62000000,25768.99000000,25732.95000000,25751.36000000,421.14793000,1686499199999,10846364.96669210,13432,223.29338000,5750486.16063670,0
119,1686499200000,25751.36000000,25899.00000000,25738.07000000,25834.16000000,1132.52948000,1686500999999,29243033.90996990,27659,597.66176000,15431384.82637710,0
120,1686501000000,25834.17000000,25953.24000000,25830.07000000,25868.39000000,1304.88211000,1686502799999,33784493.13705610,30684,560.94247000,14522748.85014580,0
121,1686502800000,25868.39000000,26021.93000000,25836.88000000,25984.69000000,1549.03744000,1686504599999,40185715.41363910,32559,733.60739000,19030463.67585280,0
122,1686504600000,25984.69000000,26080.74000000,25896.30000000,25941.63000000,1283.10162000,1686506399999,33329570.73318630,30848,560.94359000,14572304.49722240,0
123,1686506400000,25941.63000000,26047.58000000,25927.86000000,25950.01000000,918.80001000,1686508199999,23872553.88075790,23666,478.51202000,12432859.32928800,0
124,1686508200000,25950.01000000,26028.86000000,25950.00000000,25975.00000000,655.20803000,1686509999999,17027106.10657010,16498,387.84112000,10078743.91583570,0
125,1686510000000,25974.99000000,26106.66000000,25934.56000000,26058.28000000,894.97860000,1686511799999,23296446.19191540,23858,480.07637000,12495893.23058800,0
126,1686511800000,26058.29000000,26100.00000000,26028.00000000,26030.89000000,575.76525000,1686513599999,15007467.54904180,18766,285.58085000,7443320.83290200,0
127,1686513600000,26030.89000000,26206.88000000,26030.88000000,26095.63000000,1447.70145000,1686515399999,37822816.21974250,32390,817.44009000,21352994.67322750,0
